Song Name,song Artist,Rank_class,URI,Source,Peak Rank_class,Previous Rank_class,Weeks on Chart_class,Streams_class,next rank_class,Top 10 Count_class,Top 100 Count_class,times popular_class,now popular,language
לא יפריד דבר,Danny Sanderson,0,spotify:track:15F9JWEQMs4TwKKwJaANPM,NMC United Entertainment Ltd.,0,0,1,1,0,1,1,1,0,0
צבעים,Danny Sanderson,0,spotify:track:15F9JWEQMs4TwKKwJaANPM,NMC United Entertainment Ltd.,0,0,1,1,0,1,1,1,0,0
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,1,spotify:track:62bOmKYxYg7dhrC6gH9vFn,Jive,2,0,1,1,0,1,1,1,0,1
עד שתבואי עד אליי,Eden Hason,3,spotify:track:1Rh5r9vUOumJ1sbPuv3dkO,Mobile1 Music,3,2,1,1,3,1,3,1,0,0
reincarnated,Kendrick Lamar,3,spotify:track:0RgjEkSbeuStKfT2Pa4Zai,"pgLang, under exclusive license to Interscope Records",2,3,1,2,3,1,1,1,0,1
wacced out murals,Kendrick Lamar,3,spotify:track:5gOfC9UzZQzTyShqPMrpjT,"pgLang, under exclusive license to Interscope Records",2,3,1,2,2,1,1,1,0,1
Embrace It,Ndotz,2,spotify:track:0io16MKpbeDIdYzmGpQaES,Isekai Records,1,2,1,1,2,1,1,1,0,1
לב שביר,Ndotz,2,spotify:track:0io16MKpbeDIdYzmGpQaES,Isekai Records,1,2,1,1,2,1,1,1,0,0
heart pt. 6,Kendrick Lamar,3,spotify:track:1SGvjfc85yzqKXsfKcCxn2,"pgLang, under exclusive license to Interscope Records",1,3,1,1,2,1,1,1,0,1
All Girls Are The Same,Juice WRLD,0,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD Mixtape / ISR P&D,0,3,1,1,1,1,1,1,0,1
What Is This Feeling?,Juice WRLD,0,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD Mixtape / ISR P&D,0,3,1,1,0,1,1,1,0,1
Back To Black,Amy Winehouse,0,spotify:track:3FAclTFfvUuQYnEsptbK8w,Universal-Island Records Ltd.,0,0,1,1,0,1,1,1,0,1
Shut up My Moms Calling,Amy Winehouse,0,spotify:track:3FAclTFfvUuQYnEsptbK8w,Universal-Island Records Ltd.,0,0,1,1,0,1,1,1,0,1
את חסרה לי & אורות,"Avraham Tal, Eden Hason",0,spotify:track:6Eds9y8ZiQHcIegsEIVcYP,Mobile1 Music,3,0,1,1,0,1,1,1,0,0
hey now (feat. dody6),"Kendrick Lamar, Dody6",3,spotify:track:5S8VwnB4sLi6W0lYTWYylu,"pgLang, under exclusive license to Interscope Records",1,3,1,1,0,1,1,1,0,1
man at the garden,"Kendrick Lamar, Dody6",3,spotify:track:5S8VwnB4sLi6W0lYTWYylu,"pgLang, under exclusive license to Interscope Records",1,3,1,1,3,1,1,1,0,1
